Name1	Name2	Name3	Material	Method
Caden	Andre	Fox	Aluminum	Store
Flor	Xochitl	Busch	Neon	Store
Jerimiah	Anton	Nowak	Neon	Store
Eboni	Charlton		Wood	Store
Hillary	Ainsley	McNally	Neon	Store
Issac	Brewster		Clay	Store
Mariam	Delilah	Zeigler	Aluminum	Store
Madalyn	Brielle	McGowan	Plaster	Store
Lynn	Jacy	Lane	Aluminum	Store
Itzel	Raven	Shields	Neon	Store
Kalista	Milena	Lloyd	Clay	Store
Delaney	Jeniffer	Carden	Wood	Store
Tayler	Anissa	Hale	Wood	Store
Dameon	Rosado		Wood	Store
Adia	Aisha	Mcalister	Plaster	Store
Jamari	Bradly	Coppola	Neon	Store
Lillian	Mayfield		Neon	Store
Aniyah	Munn		Wood	Store
Chynna	Alisha	Parkinson	Clay	Store
Isabel	K.	Saunders	Plaster	Store
A.	Hollins		Aluminum	Store
Dequan	Reynaldo	Payne	Neon	Store
Fiona	Connie	Chaney	Wood	Store
Josie	Bair		Clay	Store
Alvin	Draven	Sikes	Plaster	Store
Yousef	Harp		Aluminum	Store
Jazlynn	Richards		Neon	Store
Jon	Edwards		Wood	Store
Jadyn	Sloan		Clay	Store
Holland	Daijah	Parson	Plaster	Store
Olga	Holland		Aluminum	Store
Halie	Graff		Neon	Store
Tomas	Ammons		Wood	Store
Stanley	Demond	Pressley	Clay	Store
Elliott	Seward		Plaster	Store
Trinity	Viridiana	Parish	Aluminum	Store
Greta	Ledbetter		Neon	Store
Ezequiel	Murrell		Wood	Store
Lexus	Sahara	Gregg	Clay	Store
Brandan	Slade		Plaster	Store
Kirk	Croft		Aluminum	Store
Kori	Doran		Neon	Store
Coy	Steiner		Wood	Store
Shawn			Clay	Store
Colin	Donovan	Prater	Plaster	Store
Winston	Schulze		Aluminum	Store
Darrell	Frazier		Neon	Store
Hailie	Millan		Aluminum	Store
Edmund	Andre	Porter	Plaster	Store
Emilie	Raquel	Moran	Clay	Store
Katherine	Moriarty		Wood	Store
Cailin	Wolfe		Clay	Store
Jim	Woodard		Plaster	Store
Jaxon	Maurice	Singleton	Aluminum	Store
SeanGavin			Neon	Store
Destiney	Olivares		Wood	Store
Micayla	Kimbrough		Clay	Store
Angie	Dixon		Plaster	Store
Essence	Askew		Aluminum	Store
Kaia	Burgos		Neon	Store
Dwight	Dameon	Key	Wood	Store
Darian	Baumann		Clay	Store
Cristobal	Montgomery		Plaster	Store
Issac	Brewster		Aluminum	Store
Rylee	Cintron		Aluminum	Store
Daquan	B.		Wood	Store
Dylan	Easley		Plaster	Store
Raina	Schafer		Aluminum	Store
Niko	Fennell		Neon	Store
Camryn	Venegas		Wood	Store
Arielle	Marlow		Clay	Store
Gloria	Raven	Aguayo	Plaster	Store
KaitlinMichel			Aluminum	Store
Stetson	Burt		Neon	Store
Arthur	Fay		Wood	Store
Jelani	Gall		Clay	Store
Dara	Rena	Jeffery	Plaster	Store
Jaycie	Jamila	McMahan	Aluminum	Store
Marjorie			Neon	Store
J.	Barrow		Wood	Store
Precious	Jocelyn	Gage	Clay	Store
Shayla	Noonan		Neon	Store
